"1043529728","1043595263"
"1045299200","1045307391"
"1064855424","1064855551"
"1068539648","1068539903"
"1068541184","1068541439"
"1068542720","1068542975"
"1068543744","1068543999"
"1074528256","1074593791"
"1084260808","1084260815"
"1089208320","1089228799"
"1089229312","1089231359"
"1089231392","1089273855"
"1095925824","1095925831"
"1105137072","1105137087"
"1115673264","1115673271"
"1119453184","1119461375"
"1162716352","1162716383"
"1184259512","1184259519"
"1373242288","1373242291"
"1373242768","1373242783"
"1986438032","1986438035"
"2001835864","2001835871"
"2560819200","2560884735"
"2737574464","2737574479"
"2838857728","2838857735"
"2838894208","2838894239"
"2894069760","2898264063"
"2898788352","2899902463"
"3234577920","3234578175"
"3237341184","3237341439"
"3277651968","3277684735"
"3278939872","3278939875"
"3279878504","3279878511"
"3279886688","3279886719"
"3279923904","3279923911"
"3326427904","3326428159"
"3366868096","3366868223"
"3368183216","3368183231"
"3369140224","3369140991"
"3369148672","3369148927"
"3369149440","3369149695"
"3369150464","3369150719"
"3369159424","3369159679"
"3369164800","3369165055"
"3369165312","3369165823"
"3369166080","3369166847"
"3369167872","3369168127"
"3369168384","3369168639"
"3369168896","3369169151"
"3369169408","3369169663"
"3369170176","3369170431"
"3369171968","3369172735"
"3424500224","3424500735"
"3449143296","3449159679"
"3451650048","3451715583"
"3459230240","3459230271"
"3474463856","3474463871"
"3474463904","3474463919"
"3474548224","3474548479"
"3475238368","3475238375"
"3509526272","3509526399"
"3519702320","3519702327"
"3523756992","3523757023"
"3560943170","3560943170"
"3643801600","3643932671"
"3651239936","3651272703"
"3664209024","3664209031"
